date,ccaa,cases,uci,deaths
NA,NA,0,NA,NA
2020-02-20,Andalucía,0,NA,NA
2020-02-20,Aragón,0,NA,NA
2020-02-20,Asturias,0,NA,NA
2020-02-20,Baleares,1,NA,NA
2020-02-20,Canarias,1,NA,NA
2020-02-20,Cantabria,0,NA,NA
2020-02-20,CLM,0,NA,NA
2020-02-20,CyL,0,NA,NA
2020-02-20,Cataluña,0,NA,NA
2020-02-20,Ceuta,0,NA,NA
2020-02-20,C. Valenciana,0,0,NA
2020-02-20,Extremadura,0,NA,NA
2020-02-20,Galicia,0,NA,NA
2020-02-20,Madrid,0,NA,NA
2020-02-20,Melilla,0,NA,NA
2020-02-20,Murcia,0,NA,NA
2020-02-20,Navarra,0,NA,NA
2020-02-20,País Vasco,0,NA,NA
2020-02-20,La Rioja,0,NA,NA
2020-02-21,Andalucía,0,NA,NA
2020-02-21,Aragón,0,NA,NA
2020-02-21,Asturias,0,NA,NA
2020-02-21,Baleares,1,NA,NA
2020-02-21,Canarias,1,NA,NA
2020-02-21,Cantabria,0,NA,NA
2020-02-21,CLM,0,NA,NA
2020-02-21,CyL,0,NA,NA
2020-02-21,Cataluña,0,NA,NA
2020-02-21,Ceuta,0,NA,NA
2020-02-21,C. Valenciana,0,1,NA
2020-02-21,Extremadura,0,NA,NA
2020-02-21,Galicia,0,NA,NA
2020-02-21,Madrid,0,NA,NA
2020-02-21,Melilla,0,NA,NA
2020-02-21,Murcia,0,NA,NA
2020-02-21,Navarra,0,NA,NA
2020-02-21,País Vasco,0,NA,NA
2020-02-21,La Rioja,0,NA,NA
2020-02-22,Andalucía,0,NA,NA
2020-02-22,Aragón,0,NA,NA
2020-02-22,Asturias,0,NA,NA
2020-02-22,Baleares,1,NA,NA
2020-02-22,Canarias,1,NA,NA
2020-02-22,Cantabria,0,NA,NA
2020-02-22,CLM,0,NA,NA
2020-02-22,CyL,0,NA,NA
2020-02-22,Cataluña,0,NA,NA
2020-02-22,Ceuta,0,NA,NA
2020-02-22,C. Valenciana,0,1,NA
2020-02-22,Extremadura,0,NA,NA
2020-02-22,Galicia,0,NA,NA
2020-02-22,Madrid,0,NA,NA
2020-02-22,Melilla,0,NA,NA
2020-02-22,Murcia,0,NA,NA
2020-02-22,Navarra,0,NA,NA
2020-02-22,País Vasco,0,NA,NA
2020-02-22,La Rioja,0,NA,NA
2020-02-23,Andalucía,0,NA,NA
2020-02-23,Aragón,0,NA,NA
2020-02-23,Asturias,0,NA,NA
2020-02-23,Baleares,1,NA,NA
2020-02-23,Canarias,1,NA,NA
2020-02-23,Cantabria,0,NA,NA
2020-02-23,CLM,0,NA,NA
2020-02-23,CyL,0,NA,NA
2020-02-23,Cataluña,0,NA,NA
2020-02-23,Ceuta,0,NA,NA
2020-02-23,C. Valenciana,0,2,NA
2020-02-23,Extremadura,0,NA,NA
2020-02-23,Galicia,0,NA,NA
2020-02-23,Madrid,0,NA,NA
2020-02-23,Melilla,0,NA,NA
2020-02-23,Murcia,0,NA,NA
2020-02-23,Navarra,0,NA,NA
2020-02-23,País Vasco,0,NA,NA
2020-02-23,La Rioja,0,NA,NA
2020-02-24,Andalucía,0,NA,NA
2020-02-24,Aragón,0,NA,NA
2020-02-24,Asturias,0,NA,NA
2020-02-24,Baleares,1,NA,NA
2020-02-24,Canarias,2,NA,NA
2020-02-24,Cantabria,0,NA,NA
2020-02-24,CLM,0,NA,NA
2020-02-24,CyL,0,NA,NA
2020-02-24,Cataluña,0,NA,NA
2020-02-24,Ceuta,0,NA,NA
2020-02-24,C. Valenciana,0,2,NA
2020-02-24,Extremadura,0,NA,NA
2020-02-24,Galicia,0,NA,NA
2020-02-24,Madrid,0,NA,NA
2020-02-24,Melilla,0,NA,NA
2020-02-24,Murcia,0,NA,NA
2020-02-24,Navarra,0,NA,NA
2020-02-24,País Vasco,0,NA,NA
2020-02-24,La Rioja,0,NA,NA
2020-02-25,Andalucía,0,NA,NA
2020-02-25,Aragón,0,NA,NA
2020-02-25,Asturias,0,NA,NA
2020-02-25,Baleares,1,NA,NA
2020-02-25,Canarias,5,NA,NA
2020-02-25,Cantabria,0,NA,NA
2020-02-25,CLM,0,NA,NA
2020-02-25,CyL,0,NA,NA
2020-02-25,Cataluña,1,NA,NA
2020-02-25,Ceuta,0,NA,NA
2020-02-25,C. Valenciana,1,2,NA
2020-02-25,Extremadura,0,NA,NA
2020-02-25,Galicia,0,NA,NA
2020-02-25,Madrid,0,NA,NA
2020-02-25,Melilla,0,NA,NA
2020-02-25,Murcia,0,NA,NA
2020-02-25,Navarra,0,NA,NA
2020-02-25,País Vasco,0,NA,NA
2020-02-25,La Rioja,0,NA,NA
2020-02-26,Andalucía,0,NA,NA
2020-02-26,Aragón,0,NA,NA
2020-02-26,Asturias,0,NA,NA
2020-02-26,Baleares,1,NA,NA
2020-02-26,Canarias,6,NA,NA
2020-02-26,Cantabria,0,NA,NA
2020-02-26,CLM,0,NA,NA
2020-02-26,CyL,0,NA,NA
2020-02-26,Cataluña,2,NA,NA
2020-02-26,Ceuta,0,NA,NA
2020-02-26,C. Valenciana,2,3,NA
2020-02-26,Extremadura,0,NA,NA
2020-02-26,Galicia,0,NA,NA
2020-02-26,Madrid,0,NA,NA
2020-02-26,Melilla,0,NA,NA
2020-02-26,Murcia,0,NA,NA
2020-02-26,Navarra,0,NA,NA
2020-02-26,País Vasco,0,NA,NA
2020-02-26,La Rioja,0,NA,NA
2020-02-27,Andalucía,0,NA,NA
2020-02-27,Aragón,0,NA,NA
2020-02-27,Asturias,0,NA,NA
2020-02-27,Baleares,1,NA,NA
2020-02-27,Canarias,6,NA,NA
2020-02-27,Cantabria,0,NA,NA
2020-02-27,CLM,0,NA,NA
2020-02-27,CyL,0,NA,NA
2020-02-27,Cataluña,3,NA,NA
2020-02-27,Ceuta,0,NA,NA
2020-02-27,C. Valenciana,8,3,NA
2020-02-27,Extremadura,0,NA,NA
2020-02-27,Galicia,0,NA,NA
2020-02-27,Madrid,0,NA,NA
2020-02-27,Melilla,0,NA,NA
2020-02-27,Murcia,0,NA,NA
2020-02-27,Navarra,0,NA,NA
2020-02-27,País Vasco,0,NA,NA
2020-02-27,La Rioja,0,NA,NA
2020-02-28,Andalucía,0,NA,NA
2020-02-28,Aragón,0,NA,NA
2020-02-28,Asturias,0,NA,NA
2020-02-28,Baleares,2,NA,NA
2020-02-28,Canarias,6,NA,NA
2020-02-28,Cantabria,0,NA,NA
2020-02-28,CLM,0,NA,NA
2020-02-28,CyL,2,NA,NA
2020-02-28,Cataluña,5,NA,NA
2020-02-28,Ceuta,0,NA,NA
2020-02-28,C. Valenciana,10,3,NA
2020-02-28,Extremadura,0,NA,NA
2020-02-28,Galicia,0,NA,NA
2020-02-28,Madrid,0,NA,NA
2020-02-28,Melilla,0,NA,NA
2020-02-28,Murcia,0,NA,NA
2020-02-28,Navarra,0,NA,NA
2020-02-28,País Vasco,2,NA,NA
2020-02-28,La Rioja,0,NA,NA
2020-02-29,Andalucía,0,NA,NA
2020-02-29,Aragón,0,NA,NA
2020-02-29,Asturias,1,NA,NA
2020-02-29,Baleares,2,NA,NA
2020-02-29,Canarias,7,NA,NA
2020-02-29,Cantabria,1,NA,NA
2020-02-29,CLM,1,NA,NA
2020-02-29,CyL,2,NA,NA
2020-02-29,Cataluña,6,NA,NA
2020-02-29,Ceuta,0,NA,NA
2020-02-29,C. Valenciana,15,3,NA
2020-02-29,Extremadura,4,NA,NA
2020-02-29,Galicia,0,NA,NA
2020-02-29,Madrid,0,NA,NA
2020-02-29,Melilla,0,NA,NA
2020-02-29,Murcia,0,NA,NA
2020-02-29,Navarra,1,NA,NA
2020-02-29,País Vasco,3,NA,NA
2020-02-29,La Rioja,0,NA,NA
2020-03-01,Andalucía,0,NA,NA
2020-03-01,Aragón,0,NA,NA
2020-03-01,Asturias,1,NA,NA
2020-03-01,Baleares,2,NA,NA
2020-03-01,Canarias,7,NA,NA
2020-03-01,Cantabria,10,NA,NA
2020-03-01,CLM,3,NA,NA
2020-03-01,CyL,2,NA,NA
2020-03-01,Cataluña,15,NA,NA
2020-03-01,Ceuta,0,NA,NA
2020-03-01,C. Valenciana,15,3,NA
2020-03-01,Extremadura,6,NA,NA
2020-03-01,Galicia,0,NA,NA
2020-03-01,Madrid,0,NA,NA
2020-03-01,Melilla,0,NA,NA
2020-03-01,Murcia,0,NA,NA
2020-03-01,Navarra,1,NA,NA
2020-03-01,País Vasco,9,NA,NA
2020-03-01,La Rioja,1,NA,NA
2020-03-02,Andalucía,0,NA,NA
2020-03-02,Aragón,0,NA,NA
2020-03-02,Asturias,1,NA,NA
2020-03-02,Baleares,2,NA,NA
2020-03-02,Canarias,7,NA,NA
2020-03-02,Cantabria,10,NA,NA
2020-03-02,CLM,7,NA,NA
2020-03-02,CyL,7,NA,NA
2020-03-02,Cataluña,15,NA,NA
2020-03-02,Ceuta,0,NA,NA
2020-03-02,C. Valenciana,15,3,NA
2020-03-02,Extremadura,6,NA,NA
2020-03-02,Galicia,0,NA,NA
2020-03-02,Madrid,0,NA,NA
2020-03-02,Melilla,0,NA,NA
2020-03-02,Murcia,0,NA,NA
2020-03-02,Navarra,1,NA,NA
2020-03-02,País Vasco,13,NA,NA
2020-03-02,La Rioja,3,NA,NA
2020-03-03,Andalucía,0,NA,NA
2020-03-03,Aragón,0,NA,NA
2020-03-03,Asturias,2,NA,NA
2020-03-03,Baleares,5,NA,NA
2020-03-03,Canarias,7,NA,NA
2020-03-03,Cantabria,10,NA,NA
2020-03-03,CLM,12,NA,NA
2020-03-03,CyL,8,NA,NA
2020-03-03,Cataluña,15,NA,NA
2020-03-03,Ceuta,0,NA,NA
2020-03-03,C. Valenciana,19,5,NA
2020-03-03,Extremadura,6,NA,NA
2020-03-03,Galicia,1,NA,NA
2020-03-03,Madrid,0,NA,NA
2020-03-03,Melilla,0,NA,NA
2020-03-03,Murcia,0,NA,NA
2020-03-03,Navarra,3,NA,NA
2020-03-03,País Vasco,17,NA,NA
2020-03-03,La Rioja,7,NA,NA
2020-03-04,Andalucía,0,NA,NA
2020-03-04,Aragón,1,NA,NA
2020-03-04,Asturias,5,NA,NA
2020-03-04,Baleares,6,NA,NA
2020-03-04,Canarias,8,NA,NA
2020-03-04,Cantabria,10,NA,NA
2020-03-04,CLM,13,NA,NA
2020-03-04,CyL,12,NA,NA
2020-03-04,Cataluña,24,NA,NA
2020-03-04,Ceuta,0,NA,NA
2020-03-04,C. Valenciana,19,6,NA
2020-03-04,Extremadura,6,NA,NA
2020-03-04,Galicia,1,NA,NA
2020-03-04,Madrid,0,NA,NA
2020-03-04,Melilla,0,NA,NA
2020-03-04,Murcia,0,NA,NA
2020-03-04,Navarra,3,NA,NA
2020-03-04,País Vasco,17,NA,NA
2020-03-04,La Rioja,11,NA,NA
2020-03-05,Andalucía,0,NA,NA
2020-03-05,Aragón,6,NA,NA
2020-03-05,Asturias,5,NA,NA
2020-03-05,Baleares,6,NA,NA
2020-03-05,Canarias,11,NA,NA
2020-03-05,Cantabria,10,NA,NA
2020-03-05,CLM,15,NA,NA
2020-03-05,CyL,13,NA,NA
2020-03-05,Cataluña,24,NA,NA
2020-03-05,Ceuta,0,NA,NA
2020-03-05,C. Valenciana,30,8,NA
2020-03-05,Extremadura,6,NA,NA
2020-03-05,Galicia,3,NA,NA
2020-03-05,Madrid,0,NA,NA
2020-03-05,Melilla,0,NA,NA
2020-03-05,Murcia,0,NA,NA
2020-03-05,Navarra,3,NA,NA
2020-03-05,País Vasco,45,NA,NA
2020-03-05,La Rioja,29,NA,NA
2020-03-06,Andalucía,0,NA,NA
2020-03-06,Aragón,11,NA,NA
2020-03-06,Asturias,5,NA,NA
2020-03-06,Baleares,6,NA,NA
2020-03-06,Canarias,11,NA,NA
2020-03-06,Cantabria,10,NA,NA
2020-03-06,CLM,15,NA,NA
2020-03-06,CyL,14,NA,NA
2020-03-06,Cataluña,24,NA,NA
2020-03-06,Ceuta,0,NA,NA
2020-03-06,C. Valenciana,30,8,NA
2020-03-06,Extremadura,6,NA,NA
2020-03-06,Galicia,3,NA,NA
2020-03-06,Madrid,0,NA,NA
2020-03-06,Melilla,0,NA,NA
2020-03-06,Murcia,0,NA,NA
2020-03-06,Navarra,3,NA,NA
2020-03-06,País Vasco,45,NA,NA
2020-03-06,La Rioja,39,NA,NA
2020-03-07,Andalucía,0,NA,NA
2020-03-07,Aragón,11,NA,NA
2020-03-07,Asturias,7,NA,NA
2020-03-07,Baleares,8,NA,NA
2020-03-07,Canarias,17,NA,NA
2020-03-07,Cantabria,12,NA,NA
2020-03-07,CLM,15,NA,NA
2020-03-07,CyL,21,NA,NA
2020-03-07,Cataluña,49,NA,NA
2020-03-07,Ceuta,0,NA,NA
2020-03-07,C. Valenciana,37,9,NA
2020-03-07,Extremadura,6,NA,NA
2020-03-07,Galicia,5,NA,NA
2020-03-07,Madrid,0,NA,NA
2020-03-07,Melilla,0,NA,NA
2020-03-07,Murcia,1,NA,NA
2020-03-07,Navarra,3,NA,NA
2020-03-07,País Vasco,70,NA,NA
2020-03-07,La Rioja,55,NA,NA
2020-03-08,Andalucía,0,1,0
2020-03-08,Aragón,13,3,3
2020-03-08,Asturias,7,2,0
2020-03-08,Baleares,11,1,0
2020-03-08,Canarias,22,0,0
2020-03-08,Cantabria,12,0,0
2020-03-08,CLM,26,2,0
2020-03-08,CyL,30,2,0
2020-03-08,Cataluña,59,5,2
2020-03-08,Ceuta,0,0,0
2020-03-08,C. Valenciana,37,9,1
2020-03-08,Extremadura,7,0,0
2020-03-08,Galicia,6,2,0
2020-03-08,Madrid,0,53,16
2020-03-08,Melilla,0,0,0
2020-03-08,Murcia,4,0,0
2020-03-08,Navarra,3,1,0
2020-03-08,País Vasco,149,5,6
2020-03-08,La Rioja,81,1,0
2020-03-09,Andalucía,0,1,0
2020-03-09,Aragón,38,3,4
2020-03-09,Asturias,22,2,0
2020-03-09,Baleares,13,1,0
2020-03-09,Canarias,25,1,0
2020-03-09,Cantabria,12,0,0
2020-03-09,CLM,39,3,0
2020-03-09,CyL,40,2,0
2020-03-09,Cataluña,82,7,2
2020-03-09,Ceuta,0,0,0
2020-03-09,C. Valenciana,50,10,1
2020-03-09,Extremadura,8,0,0
2020-03-09,Galicia,22,2,0
2020-03-09,Madrid,0,77,21
2020-03-09,Melilla,0,0,0
2020-03-09,Murcia,9,0,0
2020-03-09,Navarra,12,2,0
2020-03-09,País Vasco,195,5,6
2020-03-09,La Rioja,144,1,1
2020-03-10,Andalucía,0,3,0
2020-03-10,Aragón,45,3,4
2020-03-10,Asturias,32,2,0
2020-03-10,Baleares,16,1,0
2020-03-10,Canarias,37,1,0
2020-03-10,Cantabria,12,0,0
2020-03-10,CLM,71,5,0
2020-03-10,CyL,64,2,0
2020-03-10,Cataluña,123,8,3
2020-03-10,Ceuta,0,0,0
2020-03-10,C. Valenciana,65,12,1
2020-03-10,Extremadura,9,1,1
2020-03-10,Galicia,35,2,0
2020-03-10,Madrid,0,102,31
2020-03-10,Melilla,0,0,0
2020-03-10,Murcia,11,0,0
2020-03-10,Navarra,46,3,0
2020-03-10,País Vasco,225,15,6
2020-03-10,La Rioja,179,1,2
2020-03-11,Andalucía,0,4,0
2020-03-11,Aragón,64,3,6
2020-03-11,Asturias,47,2,1
2020-03-11,Baleares,22,2,1
2020-03-11,Canarias,51,3,0
2020-03-11,Cantabria,16,0,0
2020-03-11,CLM,115,9,1
2020-03-11,CyL,71,2,0
2020-03-11,Cataluña,202,16,6
2020-03-11,Ceuta,0,0,0
2020-03-11,C. Valenciana,76,15,1
2020-03-11,Extremadura,19,1,1
2020-03-11,Galicia,35,2,0
2020-03-11,Madrid,0,135,56
2020-03-11,Melilla,0,0,0
2020-03-11,Murcia,26,1,0
2020-03-11,Navarra,73,3,0
2020-03-11,País Vasco,346,18,11
2020-03-11,La Rioja,205,1,2
2020-03-12,Andalucía,0,8,0
2020-03-12,Aragón,80,3,7
2020-03-12,Asturias,67,2,1
2020-03-12,Baleares,28,2,1
2020-03-12,Canarias,70,3,0
2020-03-12,Cantabria,29,0,0
2020-03-12,CLM,194,10,5
2020-03-12,CyL,92,4,0
2020-03-12,Cataluña,349,22,9
2020-03-12,Ceuta,0,0,0
2020-03-12,C. Valenciana,94,22,1
2020-03-12,Extremadura,39,1,1
2020-03-12,Galicia,85,2,0
2020-03-12,Madrid,0,180,81
2020-03-12,Melilla,2,0,0
2020-03-12,Murcia,35,2,0
2020-03-12,Navarra,130,4,0
2020-03-12,País Vasco,417,20,14
2020-03-12,La Rioja,243,2,3
2020-03-13,Andalucía,0,8,2
2020-03-13,Aragón,121,5,7
2020-03-13,Asturias,92,2,1
2020-03-13,Baleares,28,2,1
2020-03-13,Canarias,90,6,1
2020-03-13,Cantabria,31,0,0
2020-03-13,CLM,289,10,6
2020-03-13,CyL,169,8,1
2020-03-13,Cataluña,558,29,13
2020-03-13,Ceuta,0,0,0
2020-03-13,C. Valenciana,130,29,4
2020-03-13,Extremadura,66,1,2
2020-03-13,Galicia,115,7,0
2020-03-13,Madrid,0,180,86
2020-03-13,Melilla,3,0,0
2020-03-13,Murcia,47,2,0
2020-03-13,Navarra,146,4,0
2020-03-13,País Vasco,521,22,14
2020-03-13,La Rioja,278,2,3
2020-03-14,Andalucía,0,8,6
2020-03-14,Aragón,147,5,7
2020-03-14,Asturias,137,3,1
2020-03-14,Baleares,42,2,1
2020-03-14,Canarias,109,6,1
2020-03-14,Cantabria,51,0,0
2020-03-14,CLM,401,10,10
2020-03-14,CyL,223,8,3
2020-03-14,Cataluña,742,40,15
2020-03-14,Ceuta,1,0,0
2020-03-14,C. Valenciana,409,37,5
2020-03-14,Extremadura,95,1,2
2020-03-14,Galicia,195,8,2
2020-03-14,Madrid,0,253,213
2020-03-14,Melilla,8,0,0
2020-03-14,Murcia,71,2,0
2020-03-14,Navarra,183,4,0
2020-03-14,País Vasco,630,29,23
2020-03-14,La Rioja,300,7,3
2020-03-15,Andalucía,0,11,7
2020-03-15,Aragón,174,7,11
2020-03-15,Asturias,177,3,1
2020-03-15,Baleares,73,4,1
2020-03-15,Canarias,119,9,1
2020-03-15,Cantabria,58,2,0
2020-03-15,CLM,567,23,17
2020-03-15,CyL,292,8,6
2020-03-15,Cataluña,1017,52,20
2020-03-15,Ceuta,1,0,0
2020-03-15,C. Valenciana,409,47,5
2020-03-15,Extremadura,111,1,2
2020-03-15,Galicia,245,9,2
2020-03-15,Madrid,0,253,213
2020-03-15,Melilla,8,0,0
2020-03-15,Murcia,77,2,0
2020-03-15,Navarra,274,5,1
2020-03-15,País Vasco,630,29,23
2020-03-15,La Rioja,312,13,4
2020-03-16,Andalucía,0,13,11
2020-03-16,Aragón,207,9,12
2020-03-16,Asturias,193,5,1
2020-03-16,Baleares,92,4,1
2020-03-16,Canarias,148,13,2
2020-03-16,Cantabria,58,2,0
2020-03-16,CLM,567,23,17
2020-03-16,CyL,431,24,12
2020-03-16,Cataluña,1414,73,23
2020-03-16,Ceuta,1,0,0
2020-03-16,C. Valenciana,541,52,13
2020-03-16,Extremadura,153,2,3
2020-03-16,Galicia,292,9,3
2020-03-16,Madrid,0,340,355
2020-03-16,Melilla,17,0,0
2020-03-16,Murcia,97,3,0
2020-03-16,Navarra,313,10,2
2020-03-16,País Vasco,765,33,36
2020-03-16,La Rioja,355,13,5
2020-03-17,Andalucía,0,21,19
2020-03-17,Aragón,226,9,13
2020-03-17,Asturias,242,5,1
2020-03-17,Baleares,112,4,1
2020-03-17,Canarias,181,17,3
2020-03-17,Cantabria,68,3,1
2020-03-17,CLM,675,29,28
2020-03-17,CyL,668,43,22
2020-03-17,Cataluña,1866,101,33
2020-03-17,Ceuta,1,0,0
2020-03-17,C. Valenciana,726,65,22
2020-03-17,Extremadura,194,3,6
2020-03-17,Galicia,341,12,3
2020-03-17,Madrid,0,491,390
2020-03-17,Melilla,20,0,0
2020-03-17,Murcia,122,4,0
2020-03-17,Navarra,386,10,3
2020-03-17,País Vasco,973,37,40
