date_time,ccaa,value,confirmed_cases
2020-03-14T16:30:00Z,Andalucía,304,304
2020-03-14T16:30:00Z,Aragón,121,121
2020-03-14T16:30:00Z,Asturias,101,101
2020-03-14T16:30:00Z,Baleares,44,44
2020-03-14T16:30:00Z,Canarias,90,90
2020-03-14T16:30:00Z,Cantabria,31,31
2020-03-14T16:30:00Z,CLM,289,289
2020-03-14T16:30:00Z,CyL,223,223
2020-03-14T16:30:00Z,Cataluña,715,715
2020-03-14T16:30:00Z,C. Valenciana,192,192
2020-03-14T16:30:00Z,Extremadura,66,66
2020-03-14T16:30:00Z,Galicia,136,136
2020-03-14T16:30:00Z,Madrid,2940,2940
2020-03-14T16:30:00Z,Melilla,3,3
2020-03-14T16:30:00Z,Murcia,51,51
2020-03-14T16:30:00Z,Navarra,146,146
2020-03-14T16:30:00Z,País Vasco,521,521
2020-03-14T16:30:00Z,La Rioja,278,278
2020-03-14T11:00:00Z,Andalucía,269,269
2020-03-14T11:00:00Z,Aragón,80,80
2020-03-14T11:00:00Z,Asturias,92,92
2020-03-14T11:00:00Z,Baleares,28,28
2020-03-14T11:00:00Z,Canarias,90,90
2020-03-14T11:00:00Z,Cantabria,31,31
2020-03-14T11:00:00Z,CLM,289,289
2020-03-14T11:00:00Z,CyL,223,223
2020-03-14T11:00:00Z,Cataluña,509,509
2020-03-14T11:00:00Z,C. Valenciana,130,130
2020-03-14T11:00:00Z,Extremadura,66,66
2020-03-14T11:00:00Z,Galicia,115,115
2020-03-14T11:00:00Z,Madrid,2940,2940
2020-03-14T11:00:00Z,Melilla,3,3
2020-03-14T11:00:00Z,Murcia,47,47
2020-03-14T11:00:00Z,Navarra,146,146
2020-03-14T11:00:00Z,País Vasco,417,417
2020-03-14T11:00:00Z,La Rioja,278,278
2020-03-13T17:00:00Z,Andalucía,219,219
2020-03-13T17:00:00Z,Aragón,80,80
2020-03-13T17:00:00Z,Asturias,73,73
2020-03-13T17:00:00Z,Baleares,30,30
2020-03-13T17:00:00Z,Canarias,70,70
2020-03-13T17:00:00Z,Cantabria,29,29
2020-03-13T17:00:00Z,CLM,194,194
2020-03-13T17:00:00Z,CyL,169,169
2020-03-13T17:00:00Z,Cataluña,316,316
2020-03-13T17:00:00Z,C. Valenciana,94,94
2020-03-13T17:00:00Z,Extremadura,39,39
2020-03-13T17:00:00Z,Galicia,85,85
2020-03-13T17:00:00Z,Madrid,1990,1990
2020-03-13T17:00:00Z,Melilla,2,2
2020-03-13T17:00:00Z,Murcia,35,35
2020-03-13T17:00:00Z,Navarra,130,130
2020-03-13T17:00:00Z,País Vasco,417,417
2020-03-13T17:00:00Z,La Rioja,259,259
2020-03-13T11:00:00Z,Andalucía,219,219
2020-03-13T11:00:00Z,Aragón,80,80
2020-03-13T11:00:00Z,Asturias,67,67
2020-03-13T11:00:00Z,Baleares,30,30
2020-03-13T11:00:00Z,Canarias,70,70
2020-03-13T11:00:00Z,Cantabria,29,29
2020-03-13T11:00:00Z,CLM,194,194
2020-03-13T11:00:00Z,CyL,169,169
2020-03-13T11:00:00Z,Cataluña,316,316
2020-03-13T11:00:00Z,C. Valenciana,94,94
2020-03-13T11:00:00Z,Extremadura,39,39
2020-03-13T11:00:00Z,Galicia,85,85
2020-03-13T11:00:00Z,Madrid,1990,1990
2020-03-13T11:00:00Z,Murcia,35,35
2020-03-13T11:00:00Z,Navarra,130,130
2020-03-13T11:00:00Z,País Vasco,417,417
2020-03-13T11:00:00Z,La Rioja,243,243
2020-03-12T17:00:00Z,Andalucía,115,115
2020-03-12T17:00:00Z,Aragón,64,64
2020-03-12T17:00:00Z,Asturias,49,49
2020-03-12T17:00:00Z,Baleares,22,22
2020-03-12T17:00:00Z,Canarias,51,51
2020-03-12T17:00:00Z,Cantabria,16,16
2020-03-12T17:00:00Z,CLM,115,115
2020-03-12T17:00:00Z,CyL,92,92
2020-03-12T17:00:00Z,Cataluña,260,260
2020-03-12T17:00:00Z,C. Valenciana,94,94
2020-03-12T17:00:00Z,Extremadura,19,19
2020-03-12T17:00:00Z,Galicia,35,35
2020-03-12T17:00:00Z,Madrid,1388,1388
2020-03-12T17:00:00Z,Murcia,26,26
2020-03-12T17:00:00Z,Navarra,92,92
2020-03-12T17:00:00Z,País Vasco,346,346
2020-03-12T17:00:00Z,La Rioja,220,220
2020-03-12T12:00:00Z,Andalucía,115,115
2020-03-12T12:00:00Z,Aragón,64,64
2020-03-12T12:00:00Z,Asturias,47,47
2020-03-12T12:00:00Z,Baleares,22,22
2020-03-12T12:00:00Z,Canarias,51,51
2020-03-12T12:00:00Z,Cantabria,16,16
2020-03-12T12:00:00Z,CLM,115,115
2020-03-12T12:00:00Z,CyL,92,92
2020-03-12T12:00:00Z,Cataluña,260,260
2020-03-12T12:00:00Z,C. Valenciana,94,94
2020-03-12T12:00:00Z,Extremadura,19,19
2020-03-12T12:00:00Z,Galicia,35,35
2020-03-12T12:00:00Z,Madrid,1388,1388
2020-03-12T12:00:00Z,Murcia,26,26
2020-03-12T12:00:00Z,Navarra,73,73
2020-03-12T12:00:00Z,País Vasco,346,346
2020-03-12T12:00:00Z,La Rioja,205,205
2020-03-10T17:00:00Z,Andalucía,71,71
2020-03-10T17:00:00Z,Aragón,38,38
2020-03-10T17:00:00Z,Asturias,28,28
2020-03-10T17:00:00Z,Baleares,13,13
2020-03-10T17:00:00Z,Canarias,25,25
2020-03-10T17:00:00Z,Cantabria,12,12
2020-03-10T17:00:00Z,CLM,39,39
2020-03-10T17:00:00Z,CyL,56,56
2020-03-10T17:00:00Z,Cataluña,124,124
2020-03-10T17:00:00Z,C. Valenciana,50,50
2020-03-10T17:00:00Z,Extremadura,8,8
2020-03-10T17:00:00Z,Galicia,22,22
2020-03-10T17:00:00Z,Madrid,782,782
2020-03-10T17:00:00Z,Murcia,9,9
2020-03-10T17:00:00Z,Navarra,12,12
2020-03-10T17:00:00Z,País Vasco,195,195
2020-03-10T17:00:00Z,La Rioja,155,155
2020-03-10T12:00:00Z,Andalucía,71,71
2020-03-10T12:00:00Z,Aragón,38,38
2020-03-10T12:00:00Z,Asturias,22,22
2020-03-10T12:00:00Z,Baleares,13,13
2020-03-10T12:00:00Z,Canarias,25,25
2020-03-10T12:00:00Z,Cantabria,12,12
2020-03-10T12:00:00Z,CLM,39,39
2020-03-10T12:00:00Z,CyL,56,56
2020-03-10T12:00:00Z,Cataluña,124,124
2020-03-10T12:00:00Z,C. Valenciana,50,50
2020-03-10T12:00:00Z,Extremadura,8,8
2020-03-10T12:00:00Z,Galicia,22,22
2020-03-10T12:00:00Z,Madrid,782,782
2020-03-10T12:00:00Z,Murcia,9,9
2020-03-10T12:00:00Z,Navarra,12,12
2020-03-10T12:00:00Z,País Vasco,195,195
2020-03-10T12:00:00Z,La Rioja,144,144
2020-03-09T11:00:00Z,Andalucía,54,54
2020-03-09T11:00:00Z,Aragón,13,13
2020-03-09T11:00:00Z,Asturias,7,7
2020-03-09T11:00:00Z,Baleares,11,11
2020-03-09T11:00:00Z,Canarias,22,22
2020-03-09T11:00:00Z,Cantabria,12,12
2020-03-09T11:00:00Z,CLM,26,26
2020-03-09T11:00:00Z,CyL,23,23
2020-03-09T11:00:00Z,Cataluña,75,75
2020-03-09T11:00:00Z,C. Valenciana,37,37
2020-03-09T11:00:00Z,Extremadura,7,7
2020-03-09T11:00:00Z,Galicia,6,6
2020-03-09T11:00:00Z,Madrid,469,469
2020-03-09T11:00:00Z,Murcia,4,4
2020-03-09T11:00:00Z,Navarra,3,3
2020-03-09T11:00:00Z,País Vasco,149,149
2020-03-09T11:00:00Z,La Rioja,81,81
2020-03-08T11:00:00Z,Andalucía,35,35
2020-03-08T11:00:00Z,Aragón,13,13
2020-03-08T11:00:00Z,Asturias,7,7
2020-03-08T11:00:00Z,Baleares,8,8
2020-03-08T11:00:00Z,Canarias,17,17
2020-03-08T11:00:00Z,Cantabria,12,12
2020-03-08T11:00:00Z,CLM,15,15
2020-03-08T11:00:00Z,CyL,22,22
2020-03-08T11:00:00Z,Cataluña,49,49
2020-03-08T11:00:00Z,C. Valenciana,37,37
2020-03-08T11:00:00Z,Extremadura,6,6
2020-03-08T11:00:00Z,Galicia,5,5
2020-03-08T11:00:00Z,Madrid,202,202
2020-03-08T11:00:00Z,Murcia,1,1
2020-03-08T11:00:00Z,Navarra,3,3
2020-03-08T11:00:00Z,País Vasco,102,102
2020-03-08T11:00:00Z,La Rioja,55,55
2020-03-07T11:00:00Z,Andalucía,27,27
2020-03-07T11:00:00Z,Aragón,11,11
2020-03-07T11:00:00Z,Asturias,5,5
2020-03-07T11:00:00Z,Baleares,6,6
2020-03-07T11:00:00Z,Canarias,18,18
2020-03-07T11:00:00Z,Cantabria,10,10
2020-03-07T11:00:00Z,CLM,15,15
2020-03-07T11:00:00Z,CyL,14,14
2020-03-07T11:00:00Z,Cataluña,24,24
2020-03-07T11:00:00Z,C. Valenciana,30,30
2020-03-07T11:00:00Z,Extremadura,6,6
2020-03-07T11:00:00Z,Galicia,3,3
2020-03-07T11:00:00Z,Madrid,174,174
2020-03-07T11:00:00Z,Navarra,3,3
2020-03-07T11:00:00Z,País Vasco,45,45
2020-03-07T11:00:00Z,La Rioja,39,39
2020-03-05T11:00:00Z,Andalucía,12,12
2020-03-05T11:00:00Z,Aragón,1,1
2020-03-05T11:00:00Z,Asturias,5,5
2020-03-05T11:00:00Z,Baleares,6,6
2020-03-05T11:00:00Z,Canarias,8,8
2020-03-05T11:00:00Z,Cantabria,10,10
2020-03-05T11:00:00Z,CyL,11,11
2020-03-05T11:00:00Z,CLM,13,13
2020-03-05T11:00:00Z,Cataluña,15,15
2020-03-05T11:00:00Z,C. Valenciana,19,19
2020-03-05T11:00:00Z,Extremadura,6,6
2020-03-05T11:00:00Z,Galicia,1,1
2020-03-05T11:00:00Z,Madrid,70,70
2020-03-05T11:00:00Z,Navarra,1,1
2020-03-05T11:00:00Z,País Vasco,17,17
2020-03-05T11:00:00Z,La Rioja,11,11
2020-03-04T11:00:00Z,Andalucía,13,13
2020-03-04T11:00:00Z,Asturias,2,2
2020-03-04T11:00:00Z,Baleares,3,3
2020-03-04T11:00:00Z,Canarias,7,7
2020-03-04T11:00:00Z,Cantabria,10,10
2020-03-04T11:00:00Z,CyL,8,8
2020-03-04T11:00:00Z,CLM,7,7
2020-03-04T11:00:00Z,Cataluña,15,15
2020-03-04T11:00:00Z,C. Valenciana,19,19
2020-03-04T11:00:00Z,Extremadura,6,6
2020-03-04T11:00:00Z,Madrid,70,70
2020-03-04T11:00:00Z,Navarra,1,1
2020-03-04T11:00:00Z,País Vasco,15,15
2020-03-04T11:00:00Z,La Rioja,3,3
2020-03-03T11:00:00Z,Andalucía,13,13
2020-03-03T11:00:00Z,Asturias,1,1
2020-03-03T11:00:00Z,Baleares,2,2
2020-03-03T11:00:00Z,Canarias,7,7
2020-03-03T11:00:00Z,Cantabria,10,10
2020-03-03T11:00:00Z,CyL,8,8
2020-03-03T11:00:00Z,CLM,3,3
2020-03-03T11:00:00Z,Cataluña,15,15
2020-03-03T11:00:00Z,C. Valenciana,15,15
2020-03-03T11:00:00Z,Extremadura,6,6
2020-03-03T11:00:00Z,Madrid,34,34
2020-03-03T11:00:00Z,Navarra,1,1
2020-03-03T11:00:00Z,País Vasco,13,13
2020-03-03T11:00:00Z,La Rioja,1,1
2020-03-02T17:00:00Z,Andalucía,12,12
2020-03-02T17:00:00Z,Asturias,1,1
2020-03-02T17:00:00Z,Baleares,2,2
2020-03-02T17:00:00Z,Canarias,7,7
2020-03-02T17:00:00Z,Cantabria,10,10
2020-03-02T17:00:00Z,CyL,3,3
2020-03-02T17:00:00Z,CLM,3,3
2020-03-02T17:00:00Z,Cataluña,15,15
2020-03-02T17:00:00Z,C. Valenciana,15,15
2020-03-02T17:00:00Z,Extremadura,6,6
2020-03-02T17:00:00Z,Madrid,29,29
2020-03-02T17:00:00Z,Navarra,1,1
2020-03-02T17:00:00Z,País Vasco,9,9
2020-03-02T17:00:00Z,La Rioja,1,1
2020-03-01T08:00:00Z,Madrid,10,10
2020-03-01T08:00:00Z,C. Valenciana,15,15
2020-03-01T08:00:00Z,Canarias,7,7
2020-03-01T08:00:00Z,Cataluña,6,6
2020-03-01T08:00:00Z,Baleares,2,2
2020-03-01T08:00:00Z,Andalucía,12,12
2020-03-01T08:00:00Z,CyL,3,3
2020-03-01T08:00:00Z,Extremadura,4,4
2020-03-01T08:00:00Z,País Vasco,3,3
2020-03-01T08:00:00Z,Asturias,1,1
2020-03-01T08:00:00Z,Cantabria,1,1
2020-03-01T08:00:00Z,CLM,1,1
2020-03-01T08:00:00Z,Navarra,1,1
2020-02-28T16:00:00Z,Madrid,5,5
2020-02-28T16:00:00Z,C. Valenciana,9,9
2020-02-28T16:00:00Z,Canarias,6,6
2020-02-28T16:00:00Z,Cataluña,3,3
2020-02-28T16:00:00Z,Baleares,1,1
2020-02-28T16:00:00Z,Andalucía,7,7
2020-02-28T16:00:00Z,Aragón,1,1
2020-02-28T16:00:00Z,CyL,2,2
2020-02-28T11:00:00Z,Madrid,5,5
2020-02-28T11:00:00Z,C. Valenciana,8,8
2020-02-28T11:00:00Z,Canarias,6,6
2020-02-28T11:00:00Z,Cataluña,3,3
2020-02-28T11:00:00Z,Baleares,1,1
2020-02-28T11:00:00Z,Andalucía,6,6
2020-02-28T11:00:00Z,Aragón,1,1
2020-02-28T11:00:00Z,CyL,2,2
2020-02-27T08:00:00Z,Canarias,5,5
2020-02-27T08:00:00Z,Cataluña,2,2
2020-02-27T08:00:00Z,C. Valenciana,2,2
2020-02-27T08:00:00Z,Madrid,2,2
2020-02-27T08:00:00Z,Andalucía,1,1
